Title,Author,Pages,Genre,Publisher
Justice League: Throne of Atlantis,,258,comic,
Justice League: The Villain's Journey,,258,comic,
"Death of Superman, The",,258,comic,
History of the DC Universe,,258,comic,
Batman: The Long Halloween,,258,comic,
"Life in Letters, A","Steinbeck, John",196,nonfiction,
"Information, The","Gleick, James",233,science,
"Journal of Economics, vol 106 No 3",,235,economics,
Elements of Information Theory,"Thomas, Joy",229,data_science,
Power Electronics - Rashid,"Rashid, Muhammad",235,computer_science,
Power Electronics - Mohan,"Mohan, Ned",237,computer_science,
Neural Networks,"Haykin, Simon",240,data_science,
"Grapes of Wrath, The","Steinbeck, John",196,fiction,
Vyakti ani Valli,"Deshpande, P L",211,nonfiction,
Statistical Learning Theory,"Vapnik, Vladimir",228,data_science,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",180,history,
Empire of the Mughal - Brothers at War,"Rutherford, Alex",180,history,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",180,history,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",180,history,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",180,history,
Mossad,"Baz-Zohar, Michael",236,history,
Jim Corbett Omnibus,"Corbett, Jim",223,nonfiction,
20000 Leagues Under the Sea,"Verne, Jules",190,fiction,
Batatyachi Chal,Deshpande P L,200,fiction,
Hafasavnuk,Deshpande P L,211,fiction,
Urlasurla,Deshpande P L,211,fiction,
Pointers in C,"Kanetkar, Yashwant",213,computer_science,
"Cathedral and the Bazaar, The","Raymond, Eric",217,computer_science,
Design with OpAmps,"Franco, Sergio",240,computer_science,
Think Complexity,"Downey, Allen",230,data_science,
"Devil's Advocate, The","West, Morris",178,fiction,
Ayn Rand Answers,"Rand, Ayn",203,philosophy,
Philosophy: Who Needs It,"Rand, Ayn",171,philosophy,
"World's Great Thinkers, The",,189,philosophy,
Data Analysis with Open Source Tools,"Janert, Phillip",230,data_science,
Broca's Brain,"Sagan, Carl",174,science,
Men of Mathematics,"Bell, E T",217,mathematics,
Oxford book of Modern Science Writing,"Dawkins, Richard",240,science,
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",224,philosophy,
"Arthashastra, The",Kautiyla,214,philosophy,
We the People,Palkhivala,216,philosophy,
We the Nation,Palkhivala,216,philosophy,
"Courtroom Genius, The",Sorabjee,217,nonfiction,
Dongri to Dubai,"Zaidi, Hussain",216,nonfiction,
"History of England, Foundation","Ackroyd, Peter",197,history,
City of Djinns,"Dalrymple, William",198,history,
India's Legal System,Nariman,177,nonfiction,
More Tears to Cry,"Sassoon, Jean",235,fiction,
"Ropemaker, The","Dickinson, Peter",196,fiction,
Angels & Demons,"Brown, Dan",170,fiction,
"Judge, The",,170,fiction,
"Attorney, The",,170,fiction,
"Prince, The",Machiavelli,173,philosophy,
Eyeless in Gaza,"Huxley, Aldous",180,fiction,
Tales of Beedle the Bard,"Rowling, J K",184,fiction,
Girl with the Dragon Tattoo,"Larsson, Steig",179,fiction,
Girl who kicked the Hornet's Nest,"Larsson, Steig",179,fiction,
Girl who played with Fire,"Larsson, Steig",179,fiction,
Batman Handbook,,270,comic,
Murphy's Law,,178,nonfiction,
Structure and Randomness,"Tao, Terence",252,mathematics,
Image Processing with MATLAB,"Eddins, Steve",241,signal_processing,
Animal Farm,"Orwell, George",180,fiction,
"Idiot, The","Dostoevsky, Fyodor",197,fiction,
"Christmas Carol, A","Dickens, Charles",196,fiction,
